DiGA,Rezepteinlöse Service
attexis - die digitale Therapie bei ADHS im Erwachsenenalter,https://de.attexis.com/de-de/rezept
Axia - für axiale Spondyloarthritis (axSpA),https://rezept.axia-app.de/
Cara Care für Reizdarm,https://survey.cara.care/to/bpuzKchE
companion patella powered by medi - proved by Dt. Kniegesellschaft,https://www.medi.de/produkte/diga-companion-patella/#rezeptservice
companion® shoulder,https://www.medi.de/produkte/diga-companion-shoulder/#rezeptservice
deprexis,https://de.deprexis.com/rezept-service/
eCovery - Therapie bei Schmerzen im unteren Rücken,https://ecovery.de/rezeptservice/
edupression.com®,https://edupression.com/de/patienten/therapie-sofort-starten/ich-habe-ein-rezept/
elevida,https://elevida.de/rezept-service/
elona explore – für die mentale Gesundheit,https://www.elona.health/rezept/auswahl
elona therapy Depression,https://www.elona.health/rezept/auswahl
Endo-App,https://endometriose.app/
glucura Diabetestherapie,https://millionfriends.typeform.com/to/AJw7KBDN?
HelloBetter Chronische Schmerzen,https://hellobetter.de/rezept/service/15/
HelloBetter Diabetes,https://hellobetter.de/rezept/service/15/
HelloBetter Panik,https://hellobetter.de/rezept/service/15/
HelloBetter Schlafen,https://hellobetter.de/rezept/service/15/
HelloBetter Stress und Burnout,https://hellobetter.de/rezept/service/15/
HelloBetter Vaginismus Plus,https://hellobetter.de/rezept/service/15/
hiToco®: ADHS Elterntraining,https://hitoco.com/de-de/eltern/rezeptservice
INKA,https://rezept.meine-inka.de/
Invirto - Die Therapie gegen Angst,https://invirto.de/
Kaia Rückenschmerzen - Rückentraining für Zuhause,https://startkaia.de/bp/sign-up/?/kaia2&
Kalmeda,https://www.kalmeda.de/freischaltcode
Kranus Edera,https://www.kranushealth.com/de/edera/form/therapie-starten
Kranus Lutera,https://www.kranushealth.com/de/lutera/form/therapie-starten
Kranus Mictera,https://www.kranushealth.com/de/mictera/form/therapie-starten
levidex,https://levidex.de/rezept-service/
Mawendo,https://www.mawendo.com/rezept-service
Meine Tinnitus App - Das digitale Tinnitus Counseling,https://www.meinetinnitusapp.de/rezept-einloesen/
memodio,https://form.typeform.com/to/qLM01Tml?
Mindable: Panik & Agoraphobie,https://www.mindable.health/de/panik/diagnose/zugang
Mindable: Soziale Phobie,https://www.mindable.health/de/soziale-phobie/diagnose/zugang
My7steps App,https://my7steps.org/de/auf-rezept
neolexon Aphasie,https://neolexon.de/aphasie-app-fuer-patienten/
NeuroNation MED,https://www.neuronation.com/
NichtraucherHelden-App,https://www.nichtraucherhelden.de/medizinprogramm.jsf
Novego: Ängste überwinden,https://digitalepatientenhilfe.de/rezeptservice/
Novego: Depressionen bewältigen,https://digitalepatientenhilfe.de/rezeptservice/
ORIKO ADHS-Therapie,
Oviva Direkt Bluthochdruck,https://oviva.com/de/de/rezept-hochladen/
Oviva Direkt für Adipositas,https://oviva.com/de/de/rezept-hochladen/
PINK! Coach,https://pink-brustkrebs.de/aktiv-gegen-brustkrebs/pink-coach/#
priovi - digitale Unterstützung der Borderline-Behandlung,https://priovi.de/rezept-service/
ProHerz,https://procarement.com/patientinnen/hilfe/
Selfapys Online-Kurs bei Binge-Eating-Störung,https://www.selfapy.com/fragebogen
Selfapys Online-Kurs bei Bulimia Nervosa,https://www.selfapy.com/fragebogen
Selfapys Online-Kurs bei Depression,https://www.selfapy.com/fragebogen
Selfapys Online-Kurs bei Generalisierter Angststörung,https://www.selfapy.com/fragebogen
Smoke Free - Rauchen aufhören,https://erfolg.smokefree.de/freiheit-vom-rauchen-fuehlt-sich-toll-an/?
somnio,https://somn.io/app/verschreibung/
somnovia,https://somnovia.de/rezept-service/
Una Health für Diabetes,https://start.unahealth.de/rezeptservice/de
Untire®,
Uroletics,https://www.uroletics.com/freischaltcode-anfragen/gkv
velibra,https://de.velibra.com/rezept-service/
Vera-App für Wechseljahresbeschwerden,
Vitadio,https://vitadio.de/rezept-service
Vivira,https://www.vivira.com/rezept-service/
vorvida,https://de.vorvida.com/rezept-service/
zanadio,https://start.zanadio.de/anmelden/rezeptservice-intro?return=https%3A%2F%2Fzanadio.de%2F
